dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,2026,13.3,1.905184,1.604044,,4.7689,0.4783,0.5704
heteroscedastic,B,7,GUMBEL_SOFTMAX,NONE,31,18.9,1.672787,1.358576,,6.7588,0.0649,0.0675
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,42,24.7,2.109185,1.550842,,5.6169,0.4992,0.504
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,123,23.3,1.806342,1.428309,,5.7865,0.2205,0.229
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,7,18.8,1.966084,1.554582,,3.1778,0.1799,0.1836
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,2026,13.1,1.889206,1.588815,,4.4167,0.2698,0.2965
heteroscedastic,B,7,GUMBEL_SOFTMAX,K_PENALTY,31,28.7,1.800806,1.390822,,6.6669,0.0941,0.0964
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,42,10.3,2.359643,1.83542,,2.7873,0.5444,0.5654
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,123,15.0,2.050797,1.716844,,2.7213,0.0908,0.0941
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,7,20.1,2.303226,1.755357,,2.7958,0.1268,0.1361
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,2026,11.2,2.652387,1.876141,,2.4978,0.0477,0.0872
heteroscedastic,B,7,GUMBEL_SOFTMAX,ELBO,31,43.8,1.75434,1.497852,,2.6187,0.1548,0.165
heteroscedastic,C,7,NONE,NONE,42,12.6,1.771178,1.582572,2.543987,7.0,0.2228,0.3726
heteroscedastic,C,7,NONE,NONE,123,12.6,1.710621,1.604404,6.419079,7.0,0.2791,0.4535
heteroscedastic,C,7,NONE,NONE,7,12.9,1.699646,1.555383,2.985071,7.0,0.2589,0.414
heteroscedastic,C,7,NONE,NONE,2026,12.5,1.866165,1.641835,5.533927,7.0,0.2423,0.4204
heteroscedastic,C,7,NONE,NONE,31,7.8,1.590903,1.579312,3.1906,7.0,0.2223,0.4228
bimodal,B,3,NONE,NONE,42,5.5,2.359291,1.850259,1.878261,3.0,0.3289,0.3289
bimodal,B,3,NONE,NONE,123,1.9,2.302153,1.841264,1.816202,3.0,0.2905,0.2905
bimodal,B,3,NONE,NONE,7,7.1,2.343366,1.845664,1.786222,3.0,0.2619,0.2619
bimodal,B,3,NONE,NONE,2026,6.9,2.239917,1.825321,1.818886,3.0,0.3379,0.3379
bimodal,B,3,NONE,NONE,31,7.2,2.454535,1.87217,1.900559,3.0,0.2133,0.2133
bimodal,B,3,SOFT_GATING,NONE,42,3.8,2.336076,1.844738,,2.3813,0.1113,0.1113
bimodal,B,3,SOFT_GATING,NONE,123,4.0,2.300408,1.836337,,2.9896,0.767,0.767
bimodal,B,3,SOFT_GATING,NONE,7,4.3,2.513566,1.890836,,2.9099,0.2176,0.2176
bimodal,B,3,SOFT_GATING,NONE,2026,10.1,2.265398,1.828402,,2.3271,0.218,0.218
bimodal,B,3,SOFT_GATING,NONE,31,4.4,2.261192,1.826909,,2.9736,0.2063,0.2063
bimodal,B,3,SOFT_GATING,K_PENALTY,42,3.9,2.33165,1.843683,,2.3085,0.1045,0.1045
