dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
bimodal,C,5,GUMBEL_SOFTMAX,K_PENALTY,2.44208,0.11294585864475058,1.8650238000000001,0.0221379401751834,,,3.6007800000000003,1.375570607784275,0.35607999999999995,0.1723084646789008,0.53844,0.14128813821407657,13.1,5.305657357952923
bimodal,C,5,GUMBEL_SOFTMAX,NONE,2.3726372,0.08996658222751373,1.8519036,0.019698434183965056,,,4.24794,1.1554055599658501,0.40526,0.1375663403598424,0.60208,0.10871118617695234,11.52,3.501713866094716
bimodal,C,5,NONE,NONE,2.5854424000000003,0.10420925104711201,1.9114385999999999,0.019671890092210247,1.7479126,0.04207080173707175,5.0,0.0,0.45743999999999996,0.021535853825655493,0.59004,0.03152249990086445,9.120000000000001,2.0191582404556607
bimodal,C,5,SOFT_GATING,ELBO,2.3624712000000003,0.04970524584689228,1.8508928,0.010810586510453473,,,3.04402,0.039498822767267266,0.3076,0.0741254679580507,0.49589999999999995,0.11634897936810618,17.5,7.8179281142768255
bimodal,C,5,SOFT_GATING,K_PENALTY,2.352643,0.055619009623509054,1.8481328000000001,0.012100619517198279,,,3.4962400000000002,0.6635309058363444,0.30446,0.06456471946814299,0.45933999999999997,0.10777206502614672,14.26,8.692698085174706
bimodal,C,5,SOFT_GATING,NONE,2.3183508,0.05983158196721845,1.8400732000000002,0.012600161812452992,,,4.297739999999999,0.4441386416424491,0.40406,0.2196662878094861,0.55428,0.2323922696648922,14.219999999999999,5.4172871439494505
bimodal,C,7,GUMBEL_SOFTMAX,ELBO,2.5618572,0.08376567806506424,1.8928764,0.01983066240194704,,,2.53898,0.14122647414702388,0.1614,0.05140160503330611,0.32076,0.08731960261018139,18.5,8.909826036461093
bimodal,C,7,GUMBEL_SOFTMAX,K_PENALTY,2.3462492,0.10393747852771877,1.8463108,0.021430322167433638,,,5.650180000000001,1.2521980921563491,0.262,0.13409211386207617,0.40774,0.1697970199974075,21.96,9.122664084575295
bimodal,C,7,GUMBEL_SOFTMAX,NONE,2.2927634,0.04886712982465819,1.8347742,0.011035986530437566,,,6.924899999999999,0.14905911578967584,0.42554,0.12409195380845611,0.49904000000000004,0.15625798539594704,20.080000000000002,7.212627815158633
bimodal,C,7,NONE,NONE,2.4670753999999997,0.11414553813136985,1.8826764,0.02678444166489197,1.7601868,0.18846803554236993,7.0,0.0,0.36668,0.040749748465481336,0.43776000000000004,0.050123427656137,13.180000000000001,1.207062550160513
