dataset,k,cell,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,nll_own_mean,nll_own_std,max_p_mid_mean,max_p_mid_std,anchor_error_mean,anchor_error_std
exponential,5,A,0.5025430000000001,0.18931254758995766,1.0276646666666667,0.19693594938795014,2.4631013333333334,1.483021680868265,1.0276646666666667,0.19693594938795014,0.08336666666666666,0.026147721379373254,17.789033333333332,1.4240028522911512
exponential,5,B,1.6956753333333332,1.1478358392628858,1.261888,0.11644543521753016,2.817708666666667,0.7337915051357118,1.261888,0.11644543521753016,0.3927,0.5334061023272981,3.1583666666666663,2.625304358228458
exponential,5,C,1.8758186666666665,0.6978525937533893,1.3580196666666666,0.07308915388984429,2.1698383333333333,0.4039074851254102,1.3580196666666666,0.07308915388984429,0.7258,0.02045800576791394,1.1170333333333333,0.18563839401732965
exponential,5,ClassReg,2.536201333333333,0.16532250348435135,1.8938096666666666,0.023218247572401617,,,1.8938096666666666,0.023218247572401617,,,,
exponential,5,D,1.6594396666666666,0.3125800667674338,1.3409663333333335,0.07228191542379976,2.3567549999999997,0.24472125560318614,1.3409663333333335,0.07228191542379976,0.7280000000000001,0.02347743597584708,1.0195666666666667,0.2513870786920706
exponential,5,E,0.9950536666666667,0.542757741156525,1.2203126666666666,0.06990012807808951,1.1030403333333334,0.04664680979802728,1.1030403333333334,0.04664680979802728,0.21383333333333332,0.1855534514185423,16.7748,2.0949441066529673
exponential,5,F,3.172978333333333,2.184882489832653,1.5585796666666667,0.46545244679272374,1.1797613333333334,0.1466529696164838,1.1797613333333334,0.1466529696164838,0.30160000000000003,0.3790198279773764,6.489366666666666,2.965694592053156
exponential,5,G,2.263089,0.6550193695616946,1.4064033333333334,0.04494003767614511,1.3895883333333334,0.08112510598041367,1.3895883333333334,0.08112510598041367,0.7460333333333334,0.03780295402919373,0.24926666666666666,0.052109532077474416
exponential,5,H,2.2565743333333335,0.6687429692417958,1.3478769999999998,0.09989706646343523,1.368008,0.1008015902305116,1.368008,0.1008015902305116,0.7460333333333334,0.03780295402919373,0.22336666666666669,0.02074736931115204
heteroscedastic,3,A,2.1903023333333334,0.38671572660202647,1.646884,0.12245822644885893,2.8925256666666663,1.36342333808738,1.646884,0.12245822644885893,,,3.9851000000000005,2.657700221996454
heteroscedastic,3,B,2.1416476666666666,0.2951001897904054,1.6075536666666668,0.1065226042412282,5.309645333333333,3.3343547025054687,1.6075536666666668,0.1065226042412282,,,0.6914666666666666,0.22551499580589607
heteroscedastic,3,C,1.7751906666666668,0.06038251118770513,1.651345,0.03741155266759173,3.442686666666667,1.5727605698952825,1.651345,0.03741155266759173,,,0.5993666666666667,0.17631138174642427
heteroscedastic,3,ClassReg,1.988349666666667,0.15865697963321143,1.7631146666666666,0.04172964184285949,,,1.7631146666666666,0.04172964184285949,,,,
heteroscedastic,3,D,1.7528773333333334,0.0877667958702684,1.65263,0.033240793778127456,2.9506859999999997,0.7874113104274032,1.65263,0.033240793778127456,,,0.6905666666666667,0.2433613431367713
heteroscedastic,3,E,2.4128613333333333,0.15806193606726868,1.7544156666666666,0.06130948867290715,1.769542333333333,0.0695617194822939,1.769542333333333,0.0695617194822939,,,3.580066666666667,2.3934026329335674
heteroscedastic,3,F,2.522467666666667,0.1994617646375699,1.7822319999999998,0.050985297174773896,1.787016666666667,0.06863678023722657,1.787016666666667,0.06863678023722657,,,1.7860666666666667,1.36865850500895
heteroscedastic,3,G,1.834486,0.15633366317911185,1.6943063333333335,0.038125018299449163,1.6755206666666667,0.041367059677155336,1.6755206666666667,0.041367059677155336,,,0.2992333333333333,0.0897784680941557
heteroscedastic,3,H,1.8261253333333334,0.14721521746182803,1.692436,0.03459754368448721,1.6752423333333333,0.038654317150007146,1.6752423333333333,0.038654317150007146,,,0.307,0.13019059105787945
heteroscedastic,5,A,2.1235673333333334,0.20243963987404567,1.5864846666666665,0.07789370029298473,4.233626666666667,3.6883099937100376,1.5864846666666665,0.07789370029298473,0.3549,0.49656100330170916,3.3711,0.6469400204037463
heteroscedastic,5,B,2.206167333333333,0.22912793649473076,1.644284,0.06583418876996978,3.2533386666666666,0.9413278699912869,1.644284,0.06583418876996978,0.5397,0.5015191023281167,1.8072333333333335,0.3789008357516955
heteroscedastic,5,C,1.9975543333333334,0.20320489363283875,1.6694363333333335,0.03993871812331155,3.886782666666667,1.7929054474434325,1.6694363333333335,0.03993871812331155,0.5942,0.05872341951896197,0.35400000000000004,0.10800365734548066
