cell,mse,nll_gaussian,nll_mdn,nll_own,max_p_mid,anchor_error,dataset,k,seed
G,1.993244,1.455122,1.385626,1.385626,0.7035,0.2264,exponential,5,123
H,1.963278,1.419358,1.371341,1.371341,0.7021,0.2367,exponential,5,123
ClassReg,2.435163,1.88089,,1.88089,,,exponential,5,7
A,0.284378,0.8252,0.824156,0.8252,0.0924,17.9354,exponential,5,7
B,3.017128,1.245394,3.590892,1.245394,1.0,1.1719,exponential,5,7
C,1.567827,1.274382,2.224002,1.274382,0.7302,1.1463,exponential,5,7
D,1.556883,1.259037,2.224697,1.259037,0.7311,1.2401,exponential,5,7
E,0.560529,1.298708,1.055182,1.055182,0.267,17.7877,exponential,5,7
F,5.203835,1.490879,1.344346,1.344346,0.7327,8.9373,exponential,5,7
G,1.786098,1.366569,1.310517,1.310517,0.7758,0.3089,exponential,5,7
H,1.778437,1.234511,1.265181,1.265181,0.7754,0.2045,exponential,5,7
